Deal Name,Company name,Address,google_places_id,"Macro Geo (NYC, SF, CHS, DC, LA, NASH, DEN)",Error?
Crave Fishbar Midtown,Crave Fishbar Midtown,,ChIJBUB1-eJYwokRwqGsIIvAPls,NYC,
Overstory Overstory,Overstory,70 Pine St 64th Floor,ChIJ_8dmJ0lbwokRIJHQFfXiMNo,NYC,
St. Tropez West Village,St. Tropez West Village,,ChIJo9tLC5VZwokR9t8kMnIACK0,NYC,
Leon's Oyster Shop Downtown Charleston,Leons Oyster Shop,698 King Street,ChIJ180tuFx6_ogRLrajxAiAgYQ,CHS,
IRIS,IRIS,1740 Broadway,ChIJMccf7SRZwokRyJJEQAXUhqM,NYC,
Sra. Martinez Coral Gables,Sra Martinez,,ChIJE71m6CK32YgRvzVM73VTlts,FL,
Sweet Rose Creamery Brentwood Country Mart,Sweet Rose Creamery - Brentwood Country Mart,,ChIJx3qVjFWjwoARvcJ3GGZ4YJQ,LA,
Tia Pol Chelsea,Tia Pol,,ChIJ8RjtPrhZwokRVZXEfLUKtM4,NYC,
Moody Tongue Sushi West Village,Moody Tongue Sushi,,ChIJGUJaVtVZwokR3VU_JU2pedg,NYC,
Roberta's Bushwick,Roberta's,261 Moore St,ChIJzSOyOg1dwokRfQ-5htUfsRY,NYC,
gertrude's Prospect Heights,Gertrude’s,605 Carlton Ave,ChIJnRyRtUBbwokR4veV9Er_PAU,NYC,
Nudibranch East Village,Nudibranch,125 1st Ave.,ChIJ5Qa2Xu9ZwokRIyvK1rhdwgw,NYC,
Renzo Hampton Park Terrace,Renzo,384 Huger Street,ChIJbT5P4Fp6_ogRM6yv6hvX3k8,CHS,
Nom Wah Pier 57,Nom Wah at Market 57,,ChIJeW_dJC5ZwokRaQfG-JI-bYc,NYC,
GupShup Gramercy,GupShup,"115 E 18th St (Between Park Ave &, Irving Pl",ChIJvYavzZ5ZwokRBQj3hhDtpfk,NYC,
Mino Brasserie West Village,Mino,225 W 12th St,ChIJh0Elkf1ZwokRrFXIVkSPvKU,NYC,
Bangkok Supper Club Messaging as a Service / VIP Handling,Bangkok Supper Club,641 Hudson St,ChIJvduhDjVZwokReg77D1pNQaQ,NYC,
Arthur and Sons West Village,Arthur & Sons,38 8th Avenue,ChIJw2RCuSZZwokRVt7nWZNROm0,NYC,
Crave Sushi Bar Midtown East,Crave Sushi Bar,947 2nd Ave,ChIJkdJZKBRZwokRwhNrDEm_t8c,NYC,
Mattina Mattina,Mattina,2232 Bush Street,ChIJYTzmaFiBhYARlEFG6VasHl4,SF,
Palette Tea House Noma,Palette Tea House,900 North Point Street,ChIJ53HCdjCBhYARI-_VU7jZI-U,SF,
Semma Greenwich,Semma,60 Greenwich Ave,ChIJxZmzO7hZwokRx2fls4uU4YU,NYC,
Diner Williamsburg,Diner,85 Broadway,ChIJvzYmKtlbwokRHye6SmfknDM,NYC,
Brenda's French Soul Food Tenderloin,Brenda's French Soul Food,652 Polk Street,ChIJZ9s5SJeAhYARIX3Fxl6oj6c,SF,
Brenda's Meat & Three NOPA,Brenda's Meat & Three,919 Divisadero Street,ChIJBZ2nB7GAhYAR1BUmlCHczaw,SF,
Meadowsweet Williamsburg,Meadowsweet,149 Broadway,ChIJwXUoA99bwokRU2bF-gdB25I,NYC,
Emily Brooklyn Clinton Hill,Emily Brooklyn,919 fulton street,ChIJYeJEs6RbwokRI9OjBP6hYG8,NYC,
Thyme Bar Chelsea,Thyme Bar,"20 W 23rd St, Cellar",ChIJGeLvoN9ZwokRyjK1gD08W7Q,NYC,
Unregular Pizza Upper East Side,UnregularPizzaUES,132 Lexington Avenue,ChIJfxzCCUBZwokR5uTiL9Gm9U4,NYC,
Little Maven Flatiron,Little Maven,30 West 18th Street,ChIJW3LA-dxZwokR0WAavt1PXFE,NYC,
Maman Upper West Side,Chez Maman,"239 Centre St New York, Ny 10013",ChIJ383_YEFZwokRJFr1iPhcJvk,NYC,
Blue Whale Marina,Blue Whale Restaurant,,ChIJyeXEUEyBhYARWEs70AP8J4I,SF,
Greywind Hudson Yards,Greywind,451 10th Avenue,ChIJRyAmqgpZwokRHjS6xvDPVfI,NYC,
Sushi Hakko Pacific Heights,sushihakkosf.com,,ChIJ0wnbFlaBhYARUol-xwVfXjk,SF,
Little Original Joe's Marina,"Little Original Joe's (Marina, SF)",2301 Chestnut Street,ChIJo_MMIdSAhYARhV9nPwTrm84,SF,
Holy City Brewing,Holy City Brewing,"1021 Aragon Ave, Charleston, SC 29405",ChIJXZV_WlF7_ogRy1myXw3d-ME,,
The Refuge Isle of Palms,The Refuge,,ChIJn5C08qlz_ogRsEyfIRdjQBg,CHS,
Sobre Masa Bushwick,Sobre Masa,52 Harrison Place,ChIJmeKSwPFdwokRZ--71Rq0GBY,NYC,
Perry's Pacific Heights,Perry's Embarcadero,1944 Union Street,ChIJy3_5ONuAhYARlKgaknpqI0k,SF,
